1,"来一首大悲咒。	2017/12/30 12:36","读一曲叙事的词。	2017/12/30 12:36","大悲咒大悲咒。	2017/12/30 12:37",{"song": "大悲咒"}
427,"亲情只是因为是因为情所忧。	2017/10/26 11:54","听说你会现脱发吗，的伤疤，三秋，全部渲染。	2017/11/29 23:18","她说我打麻将了。	2017/11/29 23:18",{"code":"No-music"}
428,"念个飞世巴。	2017/12/6 19:30","老妈。	2017/12/6 19:32","唱一首。	2017/12/11 18:58",{"code":"RANDOM"}
429,"男人的尊严。	2017/11/29 14:05","男人的尊严。	2017/11/29 14:05","男人的尊严。	2017/11/29 14:06",{"song": "男人的尊严"}
430,"电是谁发明的。	2017/12/26 12:34","天天乐乐的生日是多少。	2017/12/26 12:35","今天乐乐什么时候过生日。	2017/12/26 12:36",{"code":"No-music"}
431,"我要听歌。	2017/10/26 9:48","我要听两只老虎。	2017/10/26 9:49","我要听世上只有妈妈好。	2017/11/29 9:29",{"song": "世上只有妈妈好"}
432,"唱一首。	2017/12/27 18:15","小乌鸦爱妈妈。	2017/12/27 18:16","你刚才唱那首歌。	2017/12/27 18:20",{"code":"RANDOM"}
433,"关闭导航。	2017/10/26 11:17","导航到清湖地铁站。	2017/10/26 15:12","放个歌听一下。	2017/10/26 17:43",{"code":"RANDOM"}
434,"操你妈了个逼屁。	2017/10/26 11:55","把导航关了，放音乐。	2017/10/26 11:56","给我播一首天路韩红的天路。	2017/10/26 11:57",{"artist": "韩红", "song": "天路"}
435,"我说你先来。	2017/12/19 21:09","我说你先来，你傻逼呀。	2017/12/19 21:09","给我唱一首世上只有妈妈好。	2017/12/19 21:10",{"song": "世上只有妈妈好"}
436,"关闭音乐。	2017/10/26 17:38","你好。	2017/10/26 18:11","帮我放一首忘情水。	2017/10/26 18:30",{"song": "忘情水"}
437,"在哪个地方。	2017/11/29 21:40","哎，户口的事情呢，中国他妈的去死，心这个户口。	2017/11/29 21:40","力量更雄厚，但是这样的你又把它是好的学校拿的那分呢，东一个西一个中央政府也是东一个西一个，你这搞不好了啊。	2017/11/29 21:40",{"code":"No-music"}
438,"开启导航。	2017/10/26 14:09","到彭山县政府怎么走？	2017/10/26 14:30","请放音乐。	2017/10/26 15:22",{"code":"RANDOM"}
439,"给我跳支舞。	2017/12/23 19:50","我后来做了一个。	2017/12/23 19:51","说爸爸的音乐。	2017/12/23 19:51",{"code":"No-music"}
440,"叶萝莉精灵梦。	2017/10/26 20:45","c成龙历险记。	2017/10/26 20:47","社会主义核心价值观。	2017/10/26 20:55",{"code":"No-music"}
441,"爱我中华。	2017/10/26 17:29","小村的故事。	2017/10/26 17:29","大海唱一首。	2017/10/26 17:29",{"song": "大海"}
442,"猪猪侠。	2017/10/26 6:47","熊出没，接入角。	2017/10/26 6:48","不要，熊出没，要光头强记住不要熊出没要光头强。	2017/10/26 6:51",{"code":"No-music"}
443,"老乡。	2017/12/16 9:40","帮我点一首赵雷演唱的成都。	2017/12/16 9:41","fly。	2017/12/31 8:17",{"code":"No-music"}
444,"达威。	2017/11/29 18:22","来一首歌在飞。	2017/11/29 18:22","放一首歌在飞。	2017/11/29 19:46",{"song": "歌在飞"}
445,"你王八蛋，回话。	2017/11/29 21:37","播放歌曲播放张惠妹歌曲。	2017/11/29 21:37","打开mv要播放薛之谦的暧昧。	2017/11/29 21:39",{"song": "暧昧","artist": "薛之谦"}
446,"打开猫眼	2017/10/26 14:24","打开猫眼	2017/10/26 14:40","我会听话	2017/10/26 14:41",{"code":"No-music"}
447,"打开音乐放首音乐。	2017/11/29 10:55","给我放一首他妈的。	2017/11/29 10:55","给我放一首我们有什么不同。	2017/11/29 11:32",{"song": "我们有什么不同"}
448,"帮我播放郭峰的歌曲。	2017/10/26 9:05","伊泽。	2017/10/26 9:08","放点黄梅戏的。	2017/10/26 9:41",{"genre": "黄梅戏"}
449,"三字经。	2017/12/17 11:17","听咪咪。	2017/12/17 11:17","我要听国外的英文歌，咪咪咪。	2017/12/17 11:18",{"language": "en", "song": "咪咪咪"}
450,"播放小苹果。	2017/11/10 14:20","播放一首儿歌。	2017/11/29 20:13","那个时候你先把这两个这个四个灯的颜色是一样。	2017/11/29 20:34",{"code":"No-music"}
451,"我要听我们不一样。	2017/10/26 17:36","我要听大哲的我们不一样。	2017/10/26 17:36","我要听穷开心。	2017/10/26 18:31",{"song": "穷开心"}
452,"韦唯的歌。	2017/10/26 17:00","凤飞飞的歌。	2017/10/26 17:11","王菲的歌。	2017/10/26 17:31",{"artist": "王菲"}
453,"登陆。	2017/12/13 13:35","喜羊羊是谁。	2017/12/13 13:35","唱歌。	2017/12/13 13:36",{"code":"RANDOM"}
454,"姐是老中医。	2017/10/26 15:41","大妈你咋了。	2017/10/26 15:42","听李思琳。	2017/10/26 15:43",{"artist": "李思琳"}
455,"我想听小老鼠上灯台。	2017/12/25 17:22","听茉莉花。	2017/12/25 17:22","唱一首感觉自己萌萌哒。	2017/12/31 8:01",{"song": "感觉自己萌萌哒"}
456,"播放稻香。	2017/10/26 16:58","放信仰。	2017/10/26 16:59","我要听金志文的你要听啥歌，你晚上吃饭了吗？	2017/10/26 16:59",{"artist": "金志文"}
457,"好娃娃。	2017/10/26 20:13","梦。	2017/10/26 20:13","音乐。	2017/10/26 20:15",{"code":"RANDOM"}
458,"背首小苹果。	2017/12/18 8:38","小苹果。	2017/12/18 8:39","听首拉的贪小失大。	2017/12/18 8:39",{"song": "拉的贪小失大"}
459,"唱首英文字母歌。	2017/12/26 10:34","唱首英文字母歌。	2017/12/26 10:37","唱首歌吧。	2017/12/27 14:32",{"code":"RANDOM"}
460,"我要听彭丽媛的歌曲。	2017/10/26 12:33","我要听彭丽媛的歌曲。	2017/10/26 12:33","阿里山的姑娘。	2017/10/26 12:35",{"song": "阿里山的姑娘"}
461,"我要听铠甲勇士。	2017/10/26 18:02","我要听左手右手。	2017/10/26 18:05","我要听青春修炼手册。	2017/10/26 18:08",{"song": "青春修炼手册"}
462,"讲个故事。	2017/12/15 16:12","十万个为什么？	2017/12/15 16:12","唱一首拔萝卜。	2017/12/15 16:13",{"song": "拔萝卜"}
463,"来一首i love you。	2017/12/1 17:31","唱一个瑟蒂斯的。	2017/12/1 17:35","唱一首巴格达吗？	2017/12/1 17:36",{"song": "巴格达"}
464,"小沈阳的美了美了。	2017/11/29 19:50","小沈阳的美了美了。	2017/11/29 20:52","王蓉的爸爸妈妈。	2017/11/29 20:56",{"artist": "王蓉", "song": "爸爸妈妈"}
465,"明天下不下雨。	2017/12/3 9:28","来一个说唱脸谱吧。	2017/12/3 10:13","唱一首歌吧。	2017/12/3 10:14",{"code":"RANDOM"}
466,"老虎的姑娘。	2017/11/17 13:27","开着，歌曲妈妈的吻。	2017/11/17 13:28","春天在哪里。	2017/11/17 13:32",{"song": "春天在哪里"}
467,"今天天气怎么样？	2017/11/30 20:01","铃儿响叮当。	2017/11/30 20:02","给我唱一首儿歌。	2017/11/30 20:09",{"genre": "儿歌"}
468,"双截棍，无关众生。	2017/10/26 21:25","回乡。	2017/10/26 22:16","周杰伦。	2017/10/26 22:18",{"artist":"周杰伦"}
469,"常州市的天气	2017/10/26 9:11","今天天气	2017/10/26 9:25","给我唱魔性。	2017/10/26 11:54",{"song": "魔性"}
470,"退出纯音乐吧。	2017/11/29 7:42","太平洋保险。	2017/11/29 11:02","882526，我现在他看见我大两个号了，他应该知道我了。	2017/11/29 11:16",{"code":"No-music"}
471,"我是谁。	2017/12/28 15:16","果果是谁。	2017/12/28 15:16","我的兄弟。	2017/12/28 15:17",{"code":"No-music"}
472,"你好。	2017/12/21 22:34","我要听薛之谦的演员。	2017/12/21 22:34","我要听薛之谦的。	2017/12/21 22:35",{"artist": "薛之谦"}
473,"玉磬。	2017/11/29 22:51","给我来不。	2017/11/29 22:52","邓丽君。	2017/11/29 22:53",{"artist": "邓丽君"}
474,"我想听刘德华的歌曲。	2017/10/26 13:56","打开电子狗。	2017/10/26 13:57","我退出，我要听刘德华的歌。	2017/10/26 14:22",{"artist": "刘德华"}
475,"您好请帮我放一首告白气球。	2017/11/2 21:55","请放一首周杰伦的告白气球。	2017/11/2 21:56","请帮我放一首世上只有妈妈好。	2017/11/2 22:00",{"song": "世上只有妈妈好"}
476,"今天天气	2017/10/26 17:23","今天天气	2017/10/26 17:24","dj陆莹。	2017/10/26 17:25",{"code":"No-music"}
477,"我要听逆战的歌。	2017/12/5 12:31","我想听思念的歌。	2017/12/5 12:32","李白的歌。	2017/12/5 12:32",{"song": "李白"}
478,"薛之谦的演员。	2017/11/29 19:48","陈雅森的我的快乐就是想你。	2017/11/29 19:53","孙露的小小的太阳。	2017/11/29 19:54",{"artist": "孙露", "song": "小小的太阳"}
479,"何炅。	2017/10/26 14:43","东风乐。	2017/10/26 14:44","当医生啦，天就要嫁人啦，掉肉，嫁人了。	2017/11/29 14:44",{"code":"No-music"}
480,"我要去昆明。	2017/11/29 15:44","他跟他讲讲真假，他们生活很华丽，8200块钱新闻。	2017/11/29 16:55","不知道前一阵他们到他们那打死都要因为你们时间不多差点。	2017/11/29 16:55",{"code":"No-music"}
481,"的。	2017/12/24 14:13","P at。	2017/12/24 14:13","数鸭子。	2017/12/24 14:23",{"code":"No-music"}
482,"大头儿子小头爸爸。	2017/12/18 18:47","围裙妈妈。	2017/12/18 18:49","大头儿子小头爸爸。	2017/12/18 18:51",{"code":"No-music"}
483,"笨nana。	2017/12/30 23:03","一。	2017/12/30 23:03","那些。	2017/12/30 23:04",{"code":"No-music"}
484,"我要嫖娼。	2017/11/29 9:38","人不知而不愠不亦君子乎什么意思。	2017/11/29 9:38","听beat it。	2017/11/29 9:39",{"song": "beat it"}
485,"郭富城是谁。	2017/11/30 15:21","唱一首郭富城的歌来听一下。	2017/11/30 15:21","韩红的青藏高原。	2017/11/30 15:23",{"artist": "韩红", "song": "青藏高原"}
486,"这些人。	2017/12/22 20:20","刚好遇见你。	2017/12/22 20:20","刷双截棍。	2017/12/22 20:22",{"song": "双截棍"}
487,"在哪去了。	2017/10/26 20:07","我要去临颍县莱城夜市。	2017/10/26 20:07","你呢想开纯音乐。	2017/10/26 20:08",{"genre": "纯音乐"}
488,"我要到嵩明。	2017/11/29 21:08","我要到昭通。	2017/11/29 21:42","我最亲爱的电话打了吗？	2017/11/29 21:54",{"code":"No-music"}
489,"微信公众号。	2017/11/29 16:05","嗯，366个字，跑步去不去。	2017/11/29 16:05","我的名字，a，喝酒不花钱。	2017/11/29 16:08",{"code":"No-music"}
490,"先跟我说话。	2017/11/5 19:51","我眼睛啊。	2017/11/5 19:52","给我唱支歌吧。	2017/11/5 19:52",{"code":"RANDOM"}
491,"2011年10月20日有什么星座。	2017/11/6 20:40","10月20号有什么星座。	2017/11/6 20:40","唱首歌。	2017/11/6 20:40",{"code":"RANDOM"}
492,"你叫什么。	2017/12/21 7:17","啊。	2017/12/21 7:17","朱苗，你也要好好记住我的名字。	2017/12/21 7:17",{"code":"No-music"}
493,"讲背跳个舞吧。	2017/12/17 8:51","今天天气怎么样？	2017/12/17 8:52","围场县广源小区在哪里。	2017/12/17 8:52",{"code":"No-music"}
494,"笑话。	2017/11/3 19:25","来诗。	2017/11/4 10:10","儿歌。	2017/11/8 17:43",{"genre": "儿歌"}
495,"七朵花。	2017/10/26 16:41","我要听葫芦娃。	2017/10/26 16:42","我要听我要玩游戏。	2017/10/26 16:44",{"song":"我要玩游戏"}
496,"我们不一样。	2017/10/26 11:37","勉为其难，来了。	2017/10/26 15:45","在人均。	2017/10/26 15:50",{"code":"No-music"}
497,"打开音乐。	2017/11/29 13:08","看乌龙山剿匪记。	2017/11/29 13:21","我要听高胜美。	2017/11/29 13:29",{"artist": "高胜美"}
498,"卖汤圆。	2017/11/1 16:07","世上只有妈妈好。	2017/11/1 16:16","来首创奥菲。	2017/11/6 8:27",{"song": "创奥菲"}
499,"唱一首悟空。	2017/12/8 22:44","唱一首大泉的悟空。	2017/12/8 22:45","唱一首老爸。	2017/12/8 22:47",{"song": "老爸"}
500,"韩红的歌。	2017/11/29 12:38","韩红的歌。	2017/11/29 12:39","韩红的歌。	2017/11/29 15:39",{"artist": "韩红"}
501,"黄玫瑰。	2017/11/29 5:28","西海情歌。	2017/11/29 5:30","相思曲。	2017/11/29 5:33",{"song": "相思曲"}
502,"我操你妈。	2017/12/22 19:08","我操你妈。	2017/12/22 19:08","给他玩。	2017/12/22 19:08",{"code":"No-music"}
503,"嗯。	2017/12/22 16:18","你要不要我带机器人告诉你，网络网络我爱你。	2017/12/22 16:21","以现在就对我的朋友说，你说网络网络我爱你。	2017/12/22 16:22",{"code":"No-music"}
504,"今天天气	2017/10/26 7:37","晚上外边穿那玩意。	2017/10/26 7:41","我承认。	2017/10/26 7:41",{"code":"No-music"}
505,"播放谢军的歌曲。	2017/10/26 7:56","播放周华健的歌曲。	2017/10/26 9:12","汤潮的妈妈我想你。	2017/10/26 15:58",{"artist": "汤潮", "song": "妈妈我想你"}
506,"手机远程遥控。	2017/12/16 19:34","我听说你要加上，智能家居也能打开。	2017/12/16 19:34","唱一首欢子的歌。	2017/12/16 19:34",{"artist": "欢子"}
507,"千般爱心笑容为我祝福。	2017/11/29 7:37","来一首黑锋。	2017/11/29 7:37","播放，佩服哪。	2017/11/29 7:38",{"song": "佩服"}
508,"说美朗吉珊。	2017/12/30 8:57","拿下去。	2017/12/30 8:57","兔子乖乖。	2017/12/30 8:57",{"code":"No-music"}
509,"娥眉山黑猫警长呀。	2017/11/11 13:14","黑猫警长。	2017/11/11 13:14","唱歌。	2017/11/11 17:09",{"code":"RANDOM"}
510,"你好小凯。	2017/10/26 11:13","你好小凯。	2017/10/26 11:13","你好想开。	2017/10/26 11:14",{"code":"No-music"}
511,"但是如果拿拍。	2017/11/29 20:11","只能守到两点。	2017/11/29 20:11","舞曲。	2017/11/29 20:33",{"genre": "舞曲"}
512,"我都小宝贝。	2017/12/21 10:25","我的小宝贝。	2017/12/21 10:34","圣诞歌。	2017/12/21 10:36",{"song": "圣诞歌"}
513,"我要听，打扫卫生的歌。	2017/12/25 20:27","地址，小童儿的歌。	2017/12/25 20:28","我要听儿歌大王。	2017/12/25 20:28",{"song": "大王","genre": "儿歌"}
514,"三字经。	2017/12/18 16:37","红尘情缘。	2017/12/18 17:00","对说一句。	2017/12/18 17:02",{"code":"No-music"}
515,"小凯你好。	2017/10/26 10:17","音乐。	2017/10/26 10:17","你就胡说，不要听音乐你们放音乐。	2017/10/26 10:18",{"code":"No-music"}
516,"你叫什么名字。	2017/12/20 13:31","你叫什么名字。	2017/12/20 13:32","你知道周杰伦吗？	2017/12/20 13:32",{"code":"No-music"}
517,"帮我跳个舞。	2017/11/16 10:54","给我唱首歌。	2017/11/16 13:33","给我唱一首白狐。	2017/11/16 13:58",{"song": "白狐"}
518,"送杜少府之任蜀州。	2017/11/29 20:37","大王叫我来巡山。	2017/11/29 20:38","上学歌。	2017/11/29 20:56",{"song": "上学歌"}
519,"花千骨。	2017/11/29 22:09","仙剑奇侠传。	2017/11/29 22:11","我还是说不出来。	2017/11/29 22:11",{"code":"No-music"}
520,"得瑟。	2017/11/29 9:28","肚子上那个疯子在家人。	2017/11/29 9:28","大点张雨生我这是大狗。	2017/11/29 9:28",{"code":"No-music"}
521,"你们。	2017/12/23 21:51","唱一半，秦腔戏。	2017/12/23 21:51","我让你唱秦腔戏，三爹学。	2017/12/23 21:53",{"genre": "秦腔戏"}
522,"生没有再带一个小孩。	2017/10/26 13:11","而我基本上了解一下你们这里的现在情况。	2017/10/26 13:11","不是说好叫小鲜肉的吧。	2017/10/26 13:11",{"code":"No-music"}
523,"今天天气	2017/11/29 17:19","今天天气	2017/11/29 20:43","放一首刘德华的歌。	2017/11/29 20:45",{"artist": "刘德华"}
524,"播放江南style。	2017/11/29 21:16","播放江南style。	2017/11/29 21:16","播放，皮皮虾我们走。	2017/11/29 21:19",{"song": "皮皮虾我们走"}
525,"听歌。	2017/10/26 16:49","听歌。	2017/11/29 15:04","听草原就是我的家。	2017/11/29 17:35",{"song": "草原就是我的家"}
526,"绑定设备。	2017/12/17 13:29","我想听我们不一样。	2017/12/17 13:31","危险。	2017/12/17 13:33",{"code":"No-music"}
527,"唱个。	2017/12/20 17:46","点个刘德华的歌。	2017/12/20 17:47","唱个歌刘德华的歌。	2017/12/20 17:48",{"artist": "刘德华"}
528,"今天天气	2017/11/29 8:25","今天天气	2017/11/29 8:25","Heroes。	2017/11/29 8:25",{"code":"No-music"}
529,"长征是万里长征一共有多少。	2017/12/24 8:24","再给我来首音乐吧。	2017/12/24 8:25","张翰的主人公是谁呀。	2017/12/24 8:25",{"code":"No-music"}
530,"天上星星。	2017/12/7 9:44","天上有多少星星。	2017/12/7 9:44","骄傲的孔雀公主的歌。	2017/12/7 9:45",{"song": "孔雀公主"}
531,"是加四等于几。	2017/12/18 19:44","300等于。	2017/12/18 19:45","我要听小小小小鸟。	2017/12/18 21:25",{"song": "我是一只小小鸟", "lyrics": "我是一只小小小小鸟"}
532,"老想看电视都想捶背。	2017/11/29 11:10","要回来了，还有爆笑的游戏，等你跑鬼。	2017/11/29 11:26","新卡第一步，跟你没让你们带的面料，腿部发麻，跟她说个就快做完所有的我哪需要哪般，楼下需要的，上来帮忙的。	2017/11/29 17:11",{"code":"No-music"}
533,"我去睡了，我熬三个晚上肚子饿都不怎么想知道哪个？	2017/10/26 1:26","洛洛。	2017/11/29 20:26","我的天呐。	2017/11/29 20:26",{"code":"No-music"}
534,"吴樾播放一首看透爱情看透你。	2017/10/26 15:35","唱一首看透爱情看透你。	2017/10/26 15:35","我要听看透爱情看透了你。	2017/10/26 16:15",{"song": "看透爱情看透了你"}
535,"我好讨厌生病，还的人。	2017/11/2 17:40","爱我你就抱抱我。	2017/11/2 18:26","我要听爱我你就抱抱我。	2017/11/2 20:12",{"song": "爱我你就抱抱我"}
536,"再讲一个黄色笑话。	2017/10/26 14:08","再讲一个。	2017/10/26 14:08","听巴比伦河。	2017/10/26 14:10",{"song": "巴比伦河"}
537,"你对我的爱有没有真过。	2017/11/29 23:17","乌达木。	2017/11/29 23:24","哑巴新娘。	2017/11/29 23:32",{"song": "哑巴新娘"}
538,"我要听歌	2017/10/26 19:26","buddy我要听歌。	2017/11/29 7:43","我要听歌	2017/11/29 7:44",{"code":"RANDOM"}
539,"你好。	2017/10/26 18:30","我回吉林市江南火炬大厦。	2017/10/26 18:30","hello。	2017/10/26 18:31",{"code":"No-music"}
540,"播放	2017/10/26 16:26","打开FM	2017/10/26 16:27","hello	2017/10/26 17:16",{"code":"No-music"}
541,"点歌，对你爱不完。	2017/10/26 17:51","爱就一个字。	2017/10/26 17:52","点歌，霸王别姬。	2017/11/29 21:17",{"song": "霸王别姬"}
542,"我要去148医院。	2017/10/26 14:19","我要去148医院。	2017/10/26 14:34","你给我放一个舒宁。	2017/10/26 16:38",{"artist": "舒宁"}
543,"放几首诗歌朗诵啊。	2017/12/30 17:25","唱一首刀郎的歌。	2017/12/30 19:36","唱一首刀郎的谢谢你。	2017/12/30 19:49",{"artist": "刀郎", "song": "谢谢你"}
544,"何婕。	2017/10/26 18:18","家家。	2017/10/26 18:18","我说鸡巴你不知道什么叫鸡吧。	2017/10/26 18:18",{"code":"No-music"}
545,"三个社会摇。	2017/12/21 19:59","社会摇咯。	2017/12/21 19:59","唱社会摇歌。	2017/12/21 20:01",{"song": "社会摇"}
546,"能给我吧。	2017/11/29 22:11","然后把那个弄完了。	2017/11/29 22:11","龙巴那隆巴。	2017/11/29 22:12",{"code":"No-music"}
547,"我也在关注的那个咨询哦，就是说你看我们的营养学家也在给大家交这个，营养这个换算哦，平时应该注意什么，总之大家这个这个这个操作起来呢，特别的这个不容易，那我们就是大家都知道，介个，糖尿病治疗的这个五驾马车哦，这个。	2017/10/26 6:03","要唔要冰，知识的健康教育和这个血糖监测，我们把这五项成为这个物价吧吃这个治疗，可是这应用起来的很麻烦，很难做得到，呃，糖尿病是一个典型的是我们吃出来的这个这个，尤其是二型糖尿病，让我们，其实有些患者，许嵩他不是这个，胰岛素分泌不足，甚至他出现这个，高一导数这个血症是什么的，其他分泌是可以的，要么身体出现的感情的借口，要么就是这个，出现。	2017/10/26 6:04","为什么又是我看见有些电视上啊就是那个香蕉还什么打狗这个词我觉得这是不可信，这个一定不要相信那些虚假的这个宣传还对那个，如果不把这个嘴往后本来就是这个哦，代谢哦，这个异常的问题，你不把这个饮食控制好，怎么可能，这个这个，控制好呢，所以那个食疗是我的建议，最重要的，一套马车，也是糖尿病？	2017/10/26 6:05",{"code":"No-music"}
548,"好。	2017/11/29 19:38","好姑娘。	2017/11/29 19:38","开门。	2017/11/29 19:44",{"code":"No-music"}
549,"??	2017/10/26 8:27","??	2017/10/26 8:36","?????	2017/10/26 8:55",{"code":"No-music"}
550,"你的乳房大不大。	2017/10/26 18:14","要回答。	2017/10/26 18:14","唱蔡健雅。	2017/10/26 18:14",{"artist": "蔡健雅"}
551,"可以提高白气球。	2017/12/22 19:31","我要听周杰伦的告白气球。	2017/12/22 19:31","我想听段子。	2017/12/22 19:33",{"code":"No-music"}
552,"绑定设备。	2017/12/1 20:38","好宝宝的故事。	2017/12/1 20:43","i miss you。	2017/12/1 21:11",{"code":"No-music"}
553,"一首歌。	2017/12/19 19:36","大房子。	2017/12/19 19:38","你唱一首歌。	2017/12/19 19:40",{"code":"RANDOM"}
554,"我要听首儿歌。	2017/12/31 12:20","我要听一首冠军。	2017/12/31 12:20","我要听一首着魔。	2017/12/31 12:23",{"song": "着魔"}
555,"我把你抛弃。	2017/11/29 7:09","我真的好想你。	2017/11/29 7:09","凉凉昙花。	2017/11/29 7:18",{"code":"No-music"}
556,"大壮，我们不一样。	2017/11/29 12:28","再见。	2017/11/29 12:29","迪克牛仔。	2017/11/29 12:29",{"code":"No-music"}
557,"你吃晚饭了吗？	2017/11/28 17:45","你吃饭了没有。	2017/11/28 17:45","你什么时候睡觉啊。	2017/11/28 17:46",{"code":"No-music"}
558,"同意安装。	2017/10/26 10:07","打开文件管理。	2017/10/26 11:21","小妹你好，来个美女。	2017/10/26 11:35",{"code":"No-music"}
559,"到安徽省六安市。	2017/10/26 6:04","觉得不会。	2017/10/26 6:05","常州芙蓉服务区，这就知道了，继续走行那就这样吧。	2017/10/26 6:23",{"code":"No-music"}
560,"勒个。	2017/10/26 20:42","第一次爱的人。	2017/10/26 20:42","自作多情。	2017/10/26 20:45",{"code":"No-music"}
561,"嘻嘻。	2017/11/19 10:29","金。	2017/11/19 10:29","请说小苹果。	2017/11/20 10:14",{"song": "小苹果"}
562,"有没有音乐听一下。	2017/11/29 18:12","帮我放下一首歌吧。	2017/11/29 18:12","有没有张学友的歌。	2017/11/29 18:13",{"artist": "张学友"}
563,"爸爸。	2017/12/30 17:40","我不喜欢听你讲那个爸爸一点都不好听。	2017/12/30 17:41","那你放一个可以跳舞的音乐吧。	2017/12/30 17:41",{"scene": "跳舞"}
564,"唱儿歌。	2017/10/26 10:55","哎。	2017/10/26 11:05","非常儿歌。	2017/10/26 12:02",{"genre": "儿歌"}
565,"魏文华。	2017/10/26 12:34","播放冰雪奇缘主题歌曲。	2017/10/26 18:04","哎哎哎哎，哦。	2017/10/26 20:02",{"code":"No-music"}
566,"往前走。	2017/12/21 14:37","因为。	2017/12/21 14:37","红星。	2017/12/21 14:38",{"code":"No-music"}
567,"宁春。	2017/11/29 8:25","油皮肤呀。	2017/11/29 14:18","杂志的主页后，他是圈圈圈啊，一噪声苹果苹果，所以我眼熟的时候想着成亲了，意见要求，转，笨蛋啊，填窟窿，找到出处，出来的牛回校回校，嗯，你别来打搅了吗，会长久的。	2017/11/29 14:20",{"code":"No-music"}
568,"要走的是出口。	2017/10/26 8:12","通过第一个出口。	2017/10/26 8:12","the dj。	2017/10/26 8:13",{"code":"No-music"}
569,"打开背景音乐	2017/11/29 11:27","打开背景音乐	2017/11/29 11:27","丁咚	2017/11/29 11:28",{"artist": "丁咚"}
570,"爱茶，三秒。	2017/12/24 20:49","能不能小点声。	2017/12/24 21:50","你看你说是。	2017/12/24 21:50",{"code":"No-music"}
571,"故事。	2017/11/21 22:01","亲。	2017/11/25 6:46","来点音乐。	2017/11/25 7:50",{"code":"RANDOM"}
572,"我想听。	2017/12/27 18:46","我要听朋友的酒。	2017/12/27 18:53","我要听。	2017/12/27 18:54",{"code":"RANDOM"}
573,"曲婉婷。	2017/10/26 22:42","You Raise Me Up。	2017/10/26 22:54","对。	2017/10/26 23:22",{"code":"No-music"}
574,"欲知道。	2017/10/26 19:46","不要你了。	2017/10/26 19:46","Leo。	2017/10/26 19:46",{"code":"No-music"}
575,"打开行车记录仪。	2017/10/26 15:53","我说，好小的声音啊。	2017/10/26 21:08","一点点，宝宝说我想你了，进入主路，我说我认识你两年啦，我也爱了你两年也想了你两年。	2017/10/26 21:09",{"code":"No-music"}
576,"都穷。	2017/12/15 18:51","你知道吗？	2017/12/15 18:51","你知道世界上有没有恐龙蛋糕。	2017/12/15 18:52",{"code":"No-music"}
577,"转个圈。	2017/12/11 20:33","向前走。	2017/12/11 20:34","爱我你就抱抱我。	2017/12/11 20:34",{"song": "爱我你就抱抱我"}
578,"儿歌我爱洗澡。	2017/11/28 10:25","数鸭子。	2017/11/28 10:29","数鸭子。	2017/11/28 15:47",{"song": "数鸭子"}
579,"播放张韶涵隐形的翅膀。	2017/12/2 21:39","绑定设备。	2017/12/21 18:08","感恩的心。	2017/12/21 18:12",{"song": "感恩的心"}
580,"兔子舞。	2017/12/17 21:29","小海螺。	2017/12/17 21:31","小螺号。	2017/12/17 21:31",{"song": "小螺号"}
581,"云朵的歌曲。	2017/11/29 9:46","云朵的歌曲。	2017/11/29 9:59","张惠妹夏天的浪花。	2017/11/29 11:44",{"artist": "张惠妹", "song": "夏天的浪花"}
582,"请给我的歌。	2017/12/23 21:08","我要吃苹果咯。	2017/12/23 21:08","我要个儿歌。	2017/12/23 21:09",{"genre": "儿歌"}
583,"为了谁。	2017/10/26 18:51","等你的主人。	2017/10/26 19:07","z的爱情。	2017/10/26 19:17",{"code":"No-music"}
584,"你好我叫留。	2017/12/28 20:51","你个大坏蛋。	2017/12/28 20:52","我不喜欢你。	2017/12/28 20:52",{"code":"No-music"}
585,"孙悟空的故事。	2017/12/25 17:13","孙悟空的故事。	2017/12/25 17:13","圣诞歌。	2017/12/25 17:31",{"song": "圣诞歌"}
586,"小威。	2017/11/29 19:34","昂哥。	2017/11/29 19:34","小鱼你好，歌放一首阿土的掉小威，为什么？	2017/11/29 19:35",{"artist": "阿土", "song": "掉小威"}
587,"你都会唱什么歌啊。	2017/12/23 11:27","我叫你记住。	2017/12/23 11:28","我是你姐姐。	2017/12/23 11:28",{"code":"No-music"}
588,"医药滑翔，嘉华你。	2017/11/29 21:12","医药滑翔。	2017/11/29 21:13","很拽很拽。	2017/11/29 23:41",{"code":"No-music"}
589,"它就停一会儿。	2017/12/30 9:23","大花轿。	2017/12/30 9:23","抱一抱。	2017/12/30 9:24",{"code":"No-music"}
590,"那好吧。	2017/11/5 11:47","你累吗？	2017/11/5 11:47","我要听儿歌。	2017/11/5 11:47",{"genre": "儿歌"}
591,"放一首老子。	2017/11/24 19:45","的儿歌。	2017/11/24 19:48","来找我找你唱歌。	2017/11/24 20:20",{"code":"RANDOM"}
592,"为啥喝起来？	2017/11/25 22:43","说词。	2017/11/25 22:43","床前明月光的下一句是什么呀。	2017/11/25 22:43",{"code":"No-music"}
593,"你爱听小苹果。	2017/12/19 18:02","我要听小苹果。	2017/12/19 18:08","我要听江南style。	2017/12/19 19:02",{"song": "江南style"}
594,"哥哥的歌怎么写？	2017/12/26 17:29","该怎么写？	2017/12/26 17:30","哥哥的歌怎么写字？	2017/12/26 17:31",{"code":"No-music"}
